Participant,Trial,Correct1,CorrectKey,Response1,RT1,DotDifference,DotNumberRight,DotNumberLeft,Conf1,Conf1_RT,CipResponse,CipRT,Correct2,Response2,RT2,Conf2,Conf2_RT,ZConf1,ZConf2,Switch,ZSwitch,ZDifficult,Block,NonAbsDiff,ZNonAbsDiff,LeftTime,RightTime,ChosenTime,UnchosenTime,Change,Type,DeltaSampling,ZDeltaSampling,ConfChange
1,1,1,left,left,1.967746203,5,45,50,0.82,2.758,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.7669320817985863 1.2164835825897171 1.8150586143710825 2.307769985465711 3.016488258166646 3.3578602611996757 4.0]",0,right,0.487120063,0.8,1.557,0.342894067,-0.252718306,5,1.528009485,0.616217825,1,5,1.183408833,1.283634875,1.949433043,1.283634875,1.949433043,1,Correct to incorrect,-0.665798168,-1.122601418,-0.02
1,2,1,left,left,3.987012154,4,50,54,0.64,4.49,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.6460583871485142 1.0929379656190576 1.6421742354505113 2.371434835404216 3.2466795549225935 3.7019840135144477 4.0]",0,right,1.184323297,0.49,4.18,-0.931015781,-2.364380705,5,1.528009485,-0.113034039,1,4,0.955171836,1.631444637,1.722496976,1.631444637,1.722496976,1,Correct to incorrect,-0.091052339,-0.370912964,-0.15
1,3,1,left,left,0.612438409,3,47,50,0.83,1.058,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.5293271414193441 0.92098128998623 1.5315628664357064 2.0322435338021023 2.7912861462864385 4.0]",1,left,0.033016145,0.99,1.56,0.413666837,1.04152639,4,0.499046869,-0.842285903,1,3,0.726934838,2.10104867,1.369624189,2.10104867,1.369624189,0,"Correct, no change",0.731424481,0.704773534,0.16
1,4,1,right,right,0.548906413,2,52,50,0.5,1.263,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[1.6563831488711003 2.0629877462779405 2.5756732477348123 3.0759137264467427 3.5319212324611726 4.0]",1,right,0.056083,0.97,1.762,-1.921834551,0.905290106,4,0.499046869,-1.571537768,1,-2,-0.414250151,1.374923844,0.968693007,0.968693007,1.374923844,0,"Correct, no change",0.406230836,0.279464997,0.47
1,5,0,right,left,1.40428762,1,50,49,0.66,1.401,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.37614034947546315 0.746451335347956 1.4347493020104594 2.5525690453287098 3.398881054123194 4.0]",0,left,0.516196462,0.9,3.637,-0.789470242,0.428463113,4,0.499046869,-2.300789632,1,-1,-0.186013153,2.089249675,1.534609975,2.089249675,1.534609975,0,"Incorrect, no change",0.5546397,0.473563368,0.24
1,6,0,left,right,0.390049057,2,50,52,0.88,4.107,"[""'right'"", ""'left'"", ""'right'"", ""'left'""]","[1.6941193475722685 2.1152706974899047 2.5585512205398118 3.2100988514321216 4.0]",0,right,0.501952482,0.64,2.189,0.767530683,-1.342608577,3,-0.529915747,-1.571537768,1,2,0.49869784,1.233181672,1.072698981,1.072698981,1.233181672,0,"Incorrect, no change",0.160482691,-0.041939759,-0.24
1,7,1,right,right,0.595102274,3,50,47,0.84,1.856,"[""'right'"", ""'left'"", ""'right'""]",[0.7438543933458277 1.367756808311242 1.9139396970058442 4.0],1,right,0.056796881,1,1.595,0.484439606,1.109644531,2,-1.558878364,-0.842285903,1,-3,-0.642487149,0.546182889,2.709962718,2.709962718,0.546182889,0,"Correct, no change",-2.163779829,-3.081755293,0.16
1,8,0,left,right,0.773669762,3,47,50,0.71,1.607,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.46767906255990965 0.822467126261472 1.4674367307234206 2.5714575290658104 3.6069331993785454 4.0]",0,right,0.091843481,0.62,3.187,-0.435606395,-1.478844861,4,0.499046869,-0.842285903,1,3,0.726934838,1.851875663,1.680445275,1.680445275,1.851875663,0,"Incorrect, no change",0.171430388,-0.027621678,-0.09
1,9,1,left,left,0.520784231,4,50,54,0.98,5.573,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.5446308245518594 0.9498082299869566 1.4494026805296016 2.121329563597101 3.2560800345054304 4.0]",1,left,0.196117445,0.99,2.095,1.475258377,1.04152639,4,0.499046869,-0.113034039,1,4,0.955171836,1.821024254,1.634344921,1.821024254,1.634344921,0,"Correct, no change",0.186679333,-0.007678157,0.01
1,10,1,right,right,0.998524627,4,50,46,0.64,2.23,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.6402107773828902 1.1862978737262893 1.7953881115427066 2.5630403465402196 3.389040956077224 4.0]",1,right,0.016765942,1,1.685,-0.931015781,1.109644531,4,0.499046869,-0.113034039,1,-4,-0.870724147,1.924698375,1.435090847,1.435090847,1.924698375,0,"Correct, no change",0.489607528,0.388510237,0.36
